Vivado Simulator 2020.1
Time resolution is 1 ps
Time =            203500000, Counter = 655, amp = 58, Data_out =  32413
Time =            204500000, Counter = 860, amp = 61, Data_out =  31552
Time =            205500000, Counter = 41, amp = 115, Data_out =  32409
Time =            206500000, Counter = 246, amp = 150, Data_out =  33805
Time =            207500000, Counter = 451, amp = 112, Data_out =  33819
Time =            208500000, Counter = 656, amp = 58, Data_out =  32413
Time =            209500000, Counter = 861, amp = 61, Data_out =  31531
Time =            210500000, Counter = 42, amp = 115, Data_out =  32334
Time =            211500000, Counter = 247, amp = 150, Data_out =  33689
Time =            212500000, Counter = 452, amp = 112, Data_out =  33697
Time =            213500000, Counter = 657, amp = 58, Data_out =  32324
Time =            214500000, Counter = 862, amp = 61, Data_out =  31507
Time =            215500000, Counter = 43, amp = 115, Data_out =  32373
Time =            216500000, Counter = 248, amp = 150, Data_out =  33765
Time =            217500000, Counter = 453, amp = 112, Data_out =  33779
Time =            218500000, Counter = 658, amp = 58, Data_out =  32427
Time =            219500000, Counter = 863, amp = 61, Data_out =  31657
Time =            220500000, Counter = 44, amp = 115, Data_out =  32562
Time =            221500000, Counter = 249, amp = 150, Data_out =  33945
Time =            222500000, Counter = 454, amp = 112, Data_out =  33911
Time =            223500000, Counter = 659, amp = 58, Data_out =  32508
Time =            224500000, Counter = 864, amp = 61, Data_out =  31690
Time =            225500000, Counter = 45, amp = 115, Data_out =  32570
Time =            226500000, Counter = 250, amp = 150, Data_out =  33947
Time =            227500000, Counter = 455, amp = 112, Data_out =  33911
Time =            228500000, Counter = 660, amp = 58, Data_out =  32502
Time =            229500000, Counter = 865, amp = 61, Data_out =  31699
Time =            230500000, Counter = 46, amp = 115, Data_out =  32592
Time =            231500000, Counter = 251, amp = 150, Data_out =  33959
Time =            232500000, Counter = 456, amp = 112, Data_out =  33914
Time =            233500000, Counter = 661, amp = 58, Data_out =  32502
Time =            234500000, Counter = 866, amp = 61, Data_out =  31699
Time =            235500000, Counter = 47, amp = 115, Data_out =  32592
Time =            236500000, Counter = 252, amp = 150, Data_out =  33965
Time =            237500000, Counter = 457, amp = 112, Data_out =  33914
Time =            238500000, Counter = 662, amp = 58, Data_out =  32502
Time =            239500000, Counter = 867, amp = 61, Data_out =  31699
Time =            240500000, Counter = 48, amp = 115, Data_out =  32592
Time =            241500000, Counter = 253, amp = 150, Data_out =  33965
Time =            242500000, Counter = 458, amp = 112, Data_out =  33914
Time =            243500000, Counter = 663, amp = 58, Data_out =  32502
Time =            244500000, Counter = 868, amp = 61, Data_out =  31699
Time =            245500000, Counter = 49, amp = 115, Data_out =  32592
Time =            246500000, Counter = 254, amp = 150, Data_out =  33965
Time =            247500000, Counter = 459, amp = 112, Data_out =  33914
Time =            248500000, Counter = 664, amp = 58, Data_out =  32502
Time =            249500000, Counter = 869, amp = 61, Data_out =  31699
Time =            250500000, Counter = 50, amp = 115, Data_out =  32592
Time =            251500000, Counter = 255, amp = 150, Data_out =  33965
Time =            252500000, Counter = 460, amp = 109, Data_out =  33908
Time =            253500000, Counter = 665, amp = 56, Data_out =  32498
Time =            254500000, Counter = 870, amp = 63, Data_out =  31703
Time =            255500000, Counter = 51, amp = 115, Data_out =  32592
Time =            256500000, Counter = 256, amp = 150, Data_out =  33962
Time =            257500000, Counter = 461, amp = 109, Data_out =  33894
Time =            258500000, Counter = 666, amp = 56, Data_out =  32474
Time =            259500000, Counter = 871, amp = 63, Data_out =  31690
Time =            260500000, Counter = 52, amp = 118, Data_out =  32604
Time =            261500000, Counter = 257, amp = 150, Data_out =  33968
Time =            262500000, Counter = 462, amp = 109, Data_out =  33894
Time =            263500000, Counter = 667, amp = 56, Data_out =  32474
Time =            264500000, Counter = 872, amp = 63, Data_out =  31669
Time =            265500000, Counter = 53, amp = 118, Data_out =  32513
Time =            266500000, Counter = 258, amp = 150, Data_out =  33794
Time =            267500000, Counter = 463, amp = 109, Data_out =  33672
Time =            268500000, Counter = 668, amp = 56, Data_out =  32259
Time =            269500000, Counter = 873, amp = 63, Data_out =  31519
Time =            270500000, Counter = 54, amp = 118, Data_out =  32452
Time =            271500000, Counter = 259, amp = 150, Data_out =  33812
Time =            272500000, Counter = 464, amp = 109, Data_out =  33738
Time =            273500000, Counter = 669, amp = 56, Data_out =  32362
Time =            274500000, Counter = 874, amp = 63, Data_out =  31669
Time =            275500000, Counter = 55, amp = 118, Data_out =  32641
Time =            276500000, Counter = 260, amp = 150, Data_out =  33992
Time =            277500000, Counter = 465, amp = 109, Data_out =  33864
