Time =            278500000, Counter = 366, amp = 134, Data_out =  55655
Time =            279500000, Counter = 371, amp = 134, Data_out =  55464
Time =            280500000, Counter = 376, amp = 132, Data_out =  55276
Time =            281500000, Counter = 381, amp = 132, Data_out =  55085
Time =            282500000, Counter = 386, amp = 129, Data_out =  54882
Time =            283500000, Counter = 391, amp = 129, Data_out =  54675
Time =            284500000, Counter = 396, amp = 127, Data_out =  54449
Time =            285500000, Counter = 401, amp = 127, Data_out =  54267
Time =            286500000, Counter = 406, amp = 127, Data_out =  53960
Time =            287500000, Counter = 411, amp = 124, Data_out =  53532
Time =            288500000, Counter = 416, amp = 124, Data_out =  52877
Time =            289500000, Counter = 421, amp = 121, Data_out =  52331
Time =            290500000, Counter = 426, amp = 121, Data_out =  51851
Time =            291500000, Counter = 431, amp = 118, Data_out =  51527
Time =            292500000, Counter = 436, amp = 118, Data_out =  51125
Time =            293500000, Counter = 441, amp = 115, Data_out =  50744
Time =            294500000, Counter = 446, amp = 115, Data_out =  50338
Time =            295500000, Counter = 451, amp = 112, Data_out =  49962
Time =            296500000, Counter = 456, amp = 112, Data_out =  49564
Time =            297500000, Counter = 461, amp = 109, Data_out =  49029
Time =            298500000, Counter = 466, amp = 109, Data_out =  48555
Time =            299500000, Counter = 471, amp = 106, Data_out =  48077
Time =            300500000, Counter = 476, amp = 106, Data_out =  47815
Time =            301500000, Counter = 481, amp = 103, Data_out =  47459
Time =            302500000, Counter = 486, amp = 103, Data_out =  47076
Time =            303500000, Counter = 491, amp = 100, Data_out =  46473
Time =            304500000, Counter = 496, amp = 100, Data_out =  45955
Time =            305500000, Counter = 501, amp = 97, Data_out =  45379
Time =            306500000, Counter = 506, amp = 97, Data_out =  44865
Time =            307500000, Counter = 511, amp = 97, Data_out =  44309
Time =            308500000, Counter = 516, amp = 93, Data_out =  43769
Time =            309500000, Counter = 521, amp = 93, Data_out =  43196
Time =            310500000, Counter = 526, amp = 90, Data_out =  42651
Time =            311500000, Counter = 531, amp = 90, Data_out =  42096
Time =            312500000, Counter = 536, amp = 87, Data_out =  41541
Time =            313500000, Counter = 541, amp = 87, Data_out =  40988
Time =            314500000, Counter = 546, amp = 84, Data_out =  40411
Time =            315500000, Counter = 551, amp = 84, Data_out =  39865
Time =            316500000, Counter = 556, amp = 78, Data_out =  39307
Time =            317500000, Counter = 561, amp = 78, Data_out =  38762
Time =            318500000, Counter = 566, amp = 76, Data_out =  38141
Time =            319500000, Counter = 571, amp = 76, Data_out =  37618
Time =            320500000, Counter = 576, amp = 73, Data_out =  37020
Time =            321500000, Counter = 581, amp = 73, Data_out =  36621
Time =            322500000, Counter = 586, amp = 70, Data_out =  36134
Time =            323500000, Counter = 591, amp = 70, Data_out =  35641
Time =            324500000, Counter = 596, amp = 68, Data_out =  34942
Time =            325500000, Counter = 601, amp = 68, Data_out =  34368
Time =            326500000, Counter = 606, amp = 66, Data_out =  33725
Time =            327500000, Counter = 611, amp = 66, Data_out =  33205
Time =            328500000, Counter = 616, amp = 63, Data_out =  32663
Time =            329500000, Counter = 621, amp = 63, Data_out =  32088
Time =            330500000, Counter = 626, amp = 61, Data_out =  31391
Time =            331500000, Counter = 631, amp = 61, Data_out =  30518
Time =            332500000, Counter = 636, amp = 59, Data_out =  29712
Time =            333500000, Counter = 641, amp = 59, Data_out =  29105
Time =            334500000, Counter = 646, amp = 58, Data_out =  28673
Time =            335500000, Counter = 651, amp = 58, Data_out =  28161
Time =            336500000, Counter = 656, amp = 58, Data_out =  27638
Time =            337500000, Counter = 661, amp = 58, Data_out =  27049
Time =            338500000, Counter = 666, amp = 56, Data_out =  26533
Time =            339500000, Counter = 671, amp = 56, Data_out =  26104
Time =            340500000, Counter = 676, amp = 55, Data_out =  25725
